datetime, time (s), time (hms), active_status, active_dist (mi), active_time (s), pause_time (s), stride_pace (mi/min), step_rate (s/min), stride_length (ft), contact_time (ms), braking_gs, impact_gs, footstrike_type, max_pronation_vel, pronation_fs_mp, pronation_mp_to,stance_fs_mp, stance_mp_to 
datetime, , , , , , , power, cadence, , , , , , , , , , , 
2015-12-27 10:30:04.639, 4.639, 00:00:04.639, 1, 0.0015, 0.7, 0.0, 7.813, 165.517, 8.166, 287.0, 7.172, 12.793, 1.0, 674.438, -10.544, 10.867, 22.151, 82.332
2015-12-27 10:30:05.364, 5.364, 00:00:05.364, 1, 0.0030, 1.5, 0.0, 8.052, 164.384, 7.978, 277.0, 9.43, 12.809, 1.0, 835.938, -6.052, 6.75, 20.794, 85.488
2015-12-27 10:30:06.094, 6.094, 00:00:06.094, 1, 0.0045, 2.2, 0.0, 7.951, 166.667, 7.968, 277.0, 8.551, 11.766, 1.0, 775.269, -9.926, 5.588, 23.284, 81.679
2015-12-27 10:30:06.814, 6.814, 00:00:06.814, 1, 0.0060, 2.9, 0.0, 8.089, 165.517, 7.887, 287.0, 9.941, 12.598, 1.0, 834.106, -7.691, 3.162, 22.696, 84.46
2015-12-27 10:30:07.539, 7.539, 00:00:07.539, 1, 0.0074, 3.6, 0.0, 8.53, 169.014, 7.325, 297.0, 7.555, 14.41, 1.0, 737.244, -8.165, 3.028, 27.578, 80.913
2015-12-27 10:30:08.249, 8.249, 00:00:08.249, 1, 0.0089, 4.3, 0.0, 8.366, 165.517, 7.626, 297.0, 8.98, 12.578, 1.0, 756.836, -10.088, 1.376, 22.287, 84.096
2015-12-27 10:30:08.974, 8.974, 00:00:08.974, 1, 0.0103, 5.1, 0.0, 8.344, 163.265, 7.752, 292.0, 8.23, 15.59, 1.0, 737.366, -6.427, -2.109, 20.507, 83.06
2015-12-27 10:30:09.709, 9.709, 00:00:09.709, 1, 0.0117, 5.8, 0.0, 8.644, 164.384, 7.432, 292.0, 7.965, 13.063, 1.0, 745.911, -13.29, 2.563, 20.457, 83.679
2015-12-27 10:30:10.439, 10.439, 00:00:10.439, 1, 0.0130, 6.5, 0.0, 8.782, 164.384, 7.315, 302.0, 8.371, 13.535, 1.0, 729.797, -9.87, -1.206, 22.278, 83.58
2015-12-27 10:30:11.169, 11.169, 00:00:11.169, 1, 0.0143, 7.3, 0.0, 9.506, 164.384, 6.757, 302.0, 9.203, 14.934, 4.0, 667.419, -7.693, -4.875, 15.813, 74.132
2015-12-27 10:30:11.899, 11.899, 00:00:11.899, 1, 0.0156, 8.0, 0.0, 9.556, 164.384, 6.723, 302.0, 7.625, 10.477, 8.0, 589.478, -8.915, -5.418, 10.135, 74.105
2015-12-27 10:30:12.629, 12.629, 00:00:12.629, 1, 0.0170, 8.7, 0.0, 9.139, 160.0, 7.222, 308.0, 6.504, 11.688, 13.0, 512.146, -8.126, -3.637, 2.27, 74.206
2015-12-27 10:30:13.379, 13.379, 00:00:13.379, 1, 0.0184, 9.5, 0.0, 9.135, 161.074, 7.177, 338.0, 8.238, 13.285, 7.0, 399.475, -9.884, -8.544, 11.149, 74.69
2015-12-27 10:30:14.124, 14.124, 00:00:14.124, 1, 0.0197, 10.2, 0.0, 8.962, 161.074, 7.316, 322.0, 8.25, 14.684, 11.0, 652.344, -13.004, -10.052, 5.696, 74.56
2015-12-27 10:30:14.869, 14.869, 00:00:14.869, 1, 0.0211, 11.0, 0.0, 8.878, 161.943, 7.345, 317.0, 6.527, 13.324, 9.0, 542.664, -15.283, -9.835, 9.146, 73.165
2015-12-27 10:30:15.610, 15.61, 00:00:15.610, 1, 0.0225, 11.7, 0.0, 8.807, 162.162, 7.394, 317.0, 8.059, 10.543, 6.0, 487.854, -17.516, -10.931, 13.629, 71.725
2015-12-27 10:30:16.350, 16.35, 00:00:16.350, 1, 0.0240, 12.4, 0.0, 8.571, 164.384, 7.495, 307.0, 8.469, 11.398, 7.0, 608.826, -18.965, -9.527, 12.162, 73.824
2015-12-27 10:30:17.080, 17.08, 00:00:17.080, 1, 0.0253, 13.2, 0.0, 9.044, 158.94, 7.346, 307.0, 6.586, 14.18, 6.0, 659.546, -15.255, -7.861, 12.777, 73.922
2015-12-27 10:30:17.835, 17.835, 00:00:17.835, 1, 0.0267, 13.9, 0.0, 8.95, 162.162, 7.276, 307.0, 7.715, 8.742, 6.0, 534.668, -16.599, -9.604, 13.553, 72.968
2015-12-27 10:30:18.575, 18.575, 00:00:18.575, 1, 0.0281, 14.7, 0.0, 9.251, 157.895, 7.229, 312.0, 5.621, 15.789, 5.0, 507.568, -15.759, -9.371, 15.318, 73.961
2015-12-27 10:30:19.335, 19.335, 00:00:19.335, 1, 0.0294, 15.4, 0.0, 9.133, 161.074, 7.179, 287.0, 8.844, 10.813, 14.0, 912.964, -16.342, -9.252, 2.093, 75.9
2015-12-27 10:30:20.080, 20.08, 00:00:20.080, 1, 0.0308, 16.2, 0.0, 9.46, 161.074, 6.93, 318.0, 6.746, 8.941, 5.0, 573.792, -17.955, -6.473, 14.429, 69.612
2015-12-27 10:30:20.825, 20.825, 00:00:20.825, 1, 0.0321, 16.9, 0.0, 9.077, 159.787, 7.281, 317.0, 6.332, 7.039, 8.0, 544.678, -15.239, -11.276, 9.94, 73.817
2015-12-27 10:30:21.576, 21.576, 00:00:21.576, 1, 0.0335, 17.7, 0.0, 9.249, 161.074, 7.089, 302.0, 7.578, 12.539, 11.0, 766.235, -16.551, -8.721, 5.653, 73.849
2015-12-27 10:30:22.321, 22.321, 00:00:22.321, 1, 0.0349, 18.4, 0.0, 8.737, 156.863, 7.705, 312.0, 7.688, 9.867, 10.0, 712.341, -12.876, -11.718, 6.884, 72.954
2015-12-27 10:30:23.086, 23.086, 00:00:23.086, 1, 0.0362, 19.2, 0.0, 9.628, 156.863, 6.992, 338.0, 5.5, 10.531, 5.0, 440.308, -17.207, -8.868, 14.556, 73.357
2015-12-27 10:30:23.851, 23.851, 00:00:23.851, 1, 0.0376, 20.0, 0.0, 9.348, 160.0, 7.06, 312.0, 6.883, 9.617, 6.0, 545.654, -18.411, -9.264, 13.121, 71.823
2015-12-27 10:30:24.601, 24.601, 00:00:24.601, 1, 0.0390, 20.7, 0.0, 9.109, 157.687, 7.352, 332.0, 6.578, 14.797, 6.0, 526.306, -15.972, -9.893, 12.72, 75.175
2015-12-27 10:30:25.362, 25.362, 00:00:25.362, 1, 0.0403, 21.5, 0.0, 9.565, 156.863, 7.038, 327.0, 5.57, 11.652, 8.0, 569.58, -15.094, -10.049, 9.782, 76.413
2015-12-27 10:30:26.127, 26.127, 00:00:26.127, 1, 0.0417, 22.2, 0.0, 9.139, 160.0, 7.222, 322.0, 6.355, 8.539, 8.0, 534.79, -15.434, -9.751, 10.282, 72.384
2015-12-27 10:30:26.877, 26.877, 00:00:26.877, 1, 0.0430, 23.0, 0.0, 9.337, 160.0, 7.069, 323.0, 6.266, 12.316, 8.0, 588.623, -16.465, -9.205, 10.509, 74.957
2015-12-27 10:30:27.627, 27.627, 00:00:27.627, 1, 0.0444, 23.7, 0.0, 8.985, 160.0, 7.345, 307.0, 5.625, 8.117, 12.0, 856.14, -16.89, -8.254, 4.122, 74.515
2015-12-27 10:30:28.377, 28.377, 00:00:28.377, 1, 0.0458, 24.5, 0.0, 9.274, 156.658, 7.269, 312.0, 5.738, 11.09, 10.0, 787.598, -15.77, -11.146, 7.639, 74.454
2015-12-27 10:30:29.143, 29.143, 00:00:29.143, 1, 0.0472, 25.3, 0.0, 9.025, 157.895, 7.411, 317.0, 5.602, 10.648, 9.0, 714.05, -15.248, -10.849, 7.961, 76.127
2015-12-27 10:30:29.903, 29.903, 00:00:29.903, 1, 0.0486, 26.0, 0.0, 8.994, 160.0, 7.338, 307.0, 5.98, 8.234, 8.0, 591.37, -16.829, -7.285, 9.782, 74.532
2015-12-27 10:30:30.653, 30.653, 00:00:30.653, 1, 0.0500, 26.8, 0.0, 9.185, 160.0, 7.185, 317.0, 7.996, 9.57, 7.0, 633.118, -16.673, -10.393, 11.739, 75.793
2015-12-27 10:30:31.403, 31.403, 00:00:31.403, 1, 0.0513, 27.5, 0.0, 9.168, 157.895, 7.295, 328.0, 8.422, 14.262, 4.0, 509.338, -15.66, -9.96, 16.253, 76.221
2015-12-27 10:30:32.163, 32.163, 00:00:32.163, 1, 0.0527, 28.3, 0.0, 9.283, 157.687, 7.214, 327.0, 8.723, 8.902, 4.0, 477.295, -16.526, -9.866, 16.167, 73.928
2015-12-27 10:30:32.924, 32.924, 00:00:32.924, 1, 0.0541, 29.0, 0.0, 8.936, 157.895, 7.484, 332.0, 10.281, 14.406, 4.0, 466.37, -16.905, -9.789, 15.874, 76.182
2015-12-27 10:30:33.684, 33.684, 00:00:33.684, 1, 0.0555, 29.8, 0.0, 9.3, 155.844, 7.286, 317.0, 6.711, 13.039, 6.0, 587.646, -18.505, -7.581, 12.789, 74.361
2015-12-27 10:30:34.454, 34.454, 00:00:34.454, 1, 0.0569, 30.6, 0.0, 8.937, 161.074, 7.336, 322.0, 5.453, 10.758, 9.0, 646.973, -15.199, -12.233, 8.652, 76.995
2015-12-27 10:30:35.199, 35.199, 00:00:35.199, 1, 0.0583, 31.3, 0.0, 8.689, 163.265, 7.444, 323.0, 5.996, 9.137, 8.0, 618.591, -13.441, -13.759, 10.529, 78.129
2015-12-27 10:30:35.934, 35.934, 00:00:35.934, 1, 0.0597, 32.1, 0.0, 9.087, 157.895, 7.36, 323.0, 6.957, 9.777, 6.0, 565.857, -17.376, -9.335, 13.282, 74.825
2015-12-27 10:30:36.694, 36.694, 00:00:36.694, 1, 0.0611, 32.8, 0.0, 8.655, 162.162, 7.524, 302.0, 6.766, 11.863, 10.0, 789.978, -17.826, -10.459, 7.483, 76.0
2015-12-27 10:30:37.434, 37.434, 00:00:37.434, 1, 0.0625, 33.5, 0.0, 9.082, 159.787, 7.277, 322.0, 11.152, 14.742, 4.0, 530.579, -18.876, -8.876, 16.451, 74.929
2015-12-27 10:30:38.185, 38.185, 00:00:38.185, 1, 0.0639, 34.3, 0.0, 9.184, 158.94, 7.235, 317.0, 6.223, 10.484, 5.0, 529.358, -18.141, -9.966, 14.55, 74.262
2015-12-27 10:30:38.940, 38.94, 00:00:38.940, 1, 0.0653, 35.1, 0.0, 8.868, 158.94, 7.492, 317.0, 6.004, 10.984, 7.0, 604.187, -14.551, -11.969, 10.941, 76.353
2015-12-27 10:30:39.695, 39.695, 00:00:39.695, 1, 0.0667, 35.8, 0.0, 8.942, 157.895, 7.479, 312.0, 5.688, 11.465, 7.0, 631.47, -14.346, -10.48, 11.373, 76.819
2015-12-27 10:30:40.455, 40.455, 00:00:40.455, 1, 0.0681, 36.6, 0.0, 8.942, 163.265, 7.234, 323.0, 5.43, 15.648, 8.0, 563.354, -14.322, -10.918, 9.939, 77.721
2015-12-27 10:30:41.190, 41.19, 00:00:41.190, 1, 0.0695, 37.3, 0.0, 8.779, 160.0, 7.518, 308.0, 7.73, 8.938, 10.0, 723.816, -16.418, -9.867, 6.882, 77.625
2015-12-27 10:30:41.940, 41.94, 00:00:41.940, 1, 0.0709, 38.1, 0.0, 8.899, 160.0, 7.416, 292.0, 5.609, 11.488, 12.0, 826.233, -16.89, -6.358, 3.863, 78.069
2015-12-27 10:30:42.690, 42.69, 00:00:42.690, 1, 0.0723, 38.8, 0.0, 9.048, 159.787, 7.304, 337.0, 5.508, 9.156, 7.0, 542.48, -14.374, -12.14, 12.24, 79.014
2015-12-27 10:30:43.441, 43.441, 00:00:43.441, 1, 0.0737, 39.5, 0.0, 8.895, 163.265, 7.272, 332.0, 6.031, 14.98, 6.0, 470.215, -14.62, -14.726, 12.667, 76.046
2015-12-27 10:30:44.176, 44.176, 00:00:44.176, 1, 0.0751, 40.3, 0.0, 8.487, 164.384, 7.569, 327.0, 7.184, 10.242, 7.0, 531.311, -14.779, -13.245, 11.916, 77.563
2015-12-27 10:30:44.906, 44.906, 00:00:44.906, 1, 0.0765, 41.0, 0.0, 8.924, 160.0, 7.396, 327.0, 6.43, 11.656, 7.0, 578.674, -15.083, -11.2, 11.083, 77.606
2015-12-27 10:30:45.656, 45.656, 00:00:45.656, 1, 0.0779, 41.8, 0.0, 8.956, 161.074, 7.32, 327.0, 7.512, 12.371, 7.0, 638.428, -15.008, -8.815, 11.218, 76.148
2015-12-27 10:30:46.401, 46.401, 00:00:46.401, 1, 0.0794, 42.5, 0.0, 8.727, 158.94, 7.613, 302.0, 6.773, 12.797, 15.0, 689.087, -14.39, -9.874, 0.745, 76.628
2015-12-27 10:30:47.156, 47.156, 00:00:47.156, 1, 0.0808, 43.3, 0.0, 9.039, 152.866, 7.642, 343.0, 5.109, 12.598, 10.0, 519.958, -10.747, -13.182, 6.319, 78.23
2015-12-27 10:30:47.941, 47.941, 00:00:47.941, 1, 0.0823, 44.1, 0.0, 8.961, 153.649, 7.67, 333.0, 7.934, 9.344, 8.0, 619.934, -15.664, -10.052, 9.901, 78.157
2015-12-27 10:30:48.722, 48.722, 00:00:48.722, 1, 0.0838, 44.8, 0.0, 8.535, 160.0, 7.733, 322.0, 6.305, 14.891, 7.0, 597.107, -17.675, -8.547, 11.851, 75.264
2015-12-27 10:30:49.472, 49.472, 00:00:49.472, 1, 0.0853, 45.6, 0.0, 8.342, 157.895, 8.018, 307.0, 5.656, 10.563, 12.0, 695.19, -16.32, -11.063, 3.556, 77.082
2015-12-27 10:30:50.232, 50.232, 00:00:50.232, 1, 0.0868, 46.4, 0.0, 8.712, 150.943, 8.031, 342.0, 5.059, 7.086, 11.0, 626.282, -14.6, -14.991, 4.949, 79.506
2015-12-27 10:30:51.027, 51.027, 00:00:51.027, 1, 0.0883, 47.1, 0.0, 8.212, 161.074, 7.983, 312.0, 6.145, 12.422, 9.0, 714.233, -16.255, -10.86, 7.892, 78.175
2015-12-27 10:30:51.772, 51.772, 00:00:51.772, 1, 0.0898, 47.9, 0.0, 8.639, 154.839, 7.894, 308.0, 6.094, 10.563, 11.0, 742.371, -17.089, -10.109, 5.17, 78.076
2015-12-27 10:30:52.547, 52.547, 00:00:52.547, 1, 0.0912, 48.7, 0.0, 8.883, 158.94, 7.48, 332.0, 5.523, 9.688, 5.0, 497.07, -15.626, -8.599, 14.446, 76.191
2015-12-27 10:30:53.302, 53.302, 00:00:53.302, 1, 0.0927, 49.4, 0.0, 8.636, 155.642, 7.857, 312.0, 5.43, 14.039, 9.0, 609.009, -16.757, -9.1, 8.666, 75.289
2015-12-27 10:30:54.073, 54.073, 00:00:54.073, 1, 0.0941, 50.2, 0.0, 8.559, 158.94, 7.762, 317.0, 5.73, 9.895, 8.0, 522.156, -16.085, -9.253, 10.72, 77.18
